indice_tiempo,salon_ventas,canales_on_line,porcentaje_online,mes_numero
2022-01-01,149697614.62836808,4819479.553599999,3.119059143012557,61
2022-02-01,148406529.31365797,3796044.07646,2.494073517883414,62
2022-03-01,164321074.85165015,4661427.42714,2.7585266902069536,63
2022-04-01,173047715.34078,4144573.383260001,2.3390258194106726,64
2022-05-01,175360239.53115994,4281329.20203,2.3832619767358985,65
2022-06-01,189510268.1663519,6604256.65058,3.367551004569861,66
2022-07-01,220952507.14078715,7262837.590410001,3.1824492778802913,67
2022-08-01,218261209.60020196,7246899.535399999,3.2135871136422467,68
2022-09-01,223841299.55893996,8311857.66562,3.5803336749713055,69
2022-10-01,256894810.875496,8770878.014759999,3.3014718804667194,70
2022-11-01,272973768.15517306,11812684.98915,4.147909726297132,71
2022-12-01,349050818.8344698,10616793.4917,2.9518347295813796,72
2023-01-01,307263826.4882069,9314561.14245,2.942260592127671,73
2023-02-01,309570090.0011699,8846908.001230001,2.778403180964391,74
2023-03-01,351601023.6392711,11547315.44003,3.1797792244640832,75
2023-04-01,374859125.1204798,10954941.807589997,2.839435558898999,76
2023-05-01,374434432.96447,14462742.917069998,3.7189117880031666,77
2023-06-01,413276979.4247101,12528760.526069997,2.9423653442337874,78
2023-07-01,467388086.1971698,15281302.853480002,3.1659979273880223,79
2023-08-01,518751701.64604,18657528.72354,3.471754422734624,80
2023-09-01,563540336.5967802,16572711.735530002,2.856807269405969,81
2023-10-01,682264293.6607599,26120056.76104,3.687271852559573,82
2023-11-01,735686087.4721098,28618728.15484,3.7444129056500066,83
2023-12-01,1116024751.75575,31032995.3184,2.7054431564197365,84
2024-01-01,1070336895.2835702,31401144.578970008,2.8501461729403306,85
2024-02-01,1159627571.8536096,33384434.91634,2.7983318463598303,86
2024-03-01,1384251341.0202303,38681622.09028,2.7184430393489896,87
2024-04-01,1294639323.3574092,40478838.531090006,3.031854384621168,88
2024-05-01,1361031140.9580293,51848591.73305,3.6697102048661416,89
2024-06-01,1488530909.849041,44388418.87694,2.8956787252354297,90
2024-07-01,1537405542.9489808,50971855.90001998,3.209051950560122,91
2024-08-01,1613894730.890319,54573573.02919,3.270878619688945,92
2024-09-01,1534438240.838519,50687347.56737,3.1976865390422895,93
2024-10-01,1643182164.0618002,55187797.65037,3.2494567670481977,94
2024-11-01,1756117842.3051193,68103931.48469,3.733314252861071,95
2024-12-01,2167790946.522249,60421779.60570999,2.711670160447695,96
2025-01-01,1815675574.5381503,54360612.35328,2.9069283650411006,97
2025-02-01,1740067462.0109096,52298665.55793,2.917856165295188,98
2025-03-01,1984442779.3166904,60961271.32794002,2.980402395738262,99
2025-04-01,1921361392.85092,54016991.23171,2.7345136337915132,100
2025-05-01,1917328198.5491695,70096111.70803998,3.526982705518393,101
2025-06-01,1949403829.2751296,60098462.71771999,2.990713817903614,102
2025-07-01,1993847051.4574203,65186222.7294,3.1658654353288282,103
2025-08-01,2037395777.3903208,69524860.75538,3.2998329171320275,104
2025-09-01,1894031054.1400995,68331940.81919,3.4821254270852977,105
2025-10-01,2096199311.4287696,74767526.22910002,3.443973667960878,106
2025-11-01,2132007343.3925505,79314966.27909999,3.5867664307550498,107
2025-12-01,2713064578.3367305,83045783.35138997,2.9700466937668373,108
2026-01-01,2276136044.052029,63097280.86124001,2.697348750517627,109
2026-02-01,2154052217.7188697,60089393.21940001,2.713891149624183,110
